,bitcoin,ethereum,tether
2020-01-08 05:19:52.611,,,40476011238.635086
2020-01-08 06:07:51.148,,10198639255.77591,
2020-01-08 06:08:58.460,36216155884.71487,,
2020-01-08 06:19:54.565,,,39519856636.366684
2020-01-08 07:07:47.713,,10197662723.985098,
2020-01-08 07:09:01.836,38729598954.54393,,
2020-01-08 07:39:17.298,,,41037222387.6557
2020-01-08 08:09:04.692,,9691793787.001595,
2020-01-08 08:09:08.342,38784001028.54494,,
2020-01-08 08:34:57.860,,,41102795322.47229
2020-01-08 09:09:01.098,37696547957.520424,,
2020-01-08 09:09:08.371,,9844258660.290045,
2020-01-08 09:34:33.864,,,41040037103.05262
2020-01-08 10:04:25.251,39155811893.533424,,
2020-01-08 10:09:43.818,,10438158632.803602,
2020-01-08 10:44:23.172,,,41250619318.69951
2020-01-08 11:05:56.256,38000916450.38499,,
2020-01-08 11:09:31.254,,9793642653.026808,
2020-01-08 11:32:18.781,,,41335244496.06237
2020-01-08 12:12:27.334,39000869323.575905,,
2020-01-08 12:12:43.694,,8826695892.33811,
2020-01-08 12:39:06.218,,,40611013690.47868
2020-01-08 13:07:35.311,37360433526.79045,,
2020-01-08 13:10:04.678,,9937639626.804138,
2020-01-08 13:22:46.922,,,40257133305.75215
2020-01-08 14:00:28.761,39996601794.32832,,
2020-01-08 14:00:29.007,,9983670950.171259,
2020-01-08 14:19:56.073,,,40921377297.63844
2020-01-08 15:05:09.499,40664741676.35466,,
2020-01-08 15:09:13.092,,10447975823.73905,
2020-01-08 15:39:59.300,,,41603876699.99225
2020-01-08 16:10:07.039,,10111037404.05646,
2020-01-08 16:12:17.176,39912780509.83457,,
2020-01-08 16:25:54.147,,,41382776312.717995
2020-01-08 17:04:20.885,,7839522078.016829,
2020-01-08 17:04:58.523,40541218364.54774,,
2020-01-08 17:34:42.240,,,42077239696.65096
2020-01-08 18:04:30.301,41141838944.07924,,
2020-01-08 18:10:32.626,,10075610422.342337,
2020-01-08 18:39:44.390,,,42113842376.13856
2020-01-08 19:05:10.066,40294885765.53834,,
2020-01-08 19:09:48.054,,9171029833.902796,
2020-01-08 19:29:06.246,,,41205792498.522896
2020-01-08 20:02:39.423,39501721106.717834,,
2020-01-08 20:04:51.188,,9975505462.827484,
2020-01-08 20:32:11.088,,,41006945841.25351
2020-01-08 21:09:27.976,,9913138311.797565,
2020-01-08 21:09:38.243,40450766041.3329,,
2020-01-08 21:20:00.811,,,41344619614.18406
2020-01-08 22:05:22.217,39718321385.956535,,
2020-01-08 22:09:15.809,,10105184123.498766,
2020-01-08 22:34:39.832,,,40737494780.33749
2020-01-08 23:02:25.475,,10463526817.352074,
2020-01-08 23:10:23.416,39516928344.21033,,
2020-01-08 23:37:19.143,,,41357357208.22532
2020-01-09 00:02:31.586,39842064602.42155,,
2020-01-09 00:04:42.006,,10095847759.294762,
2020-01-09 00:42:56.781,,,40063346481.4508
2020-01-09 01:04:18.661,38259385476.892044,,
2020-01-09 01:04:32.931,,9750782741.16533,
2020-01-09 01:34:22.669,,,38982687386.51987
2020-01-09 02:07:46.677,35669436568.00456,,
2020-01-09 02:09:14.605,,8989100452.475279,
2020-01-09 02:35:36.894,,,38182061264.26684
2020-01-09 03:07:17.364,,8881917356.358582,
